,Pageview,Revision,Corr.
479,List of August 2019 Hong Kong protests,List of October 2019 Hong Kong protests,0.2792333630050184
487,List of August 2019 Hong Kong protests,Storming of the Legislative Council Complex,0.27639288585256583
263,Causes of the 2019–20 Hong Kong protests,"One country, two systems",0.2715748565690562
185,2019–20 Hong Kong protests,Siege of the Hong Kong Polytechnic University,0.270894984924082
249,Causes of the 2019–20 Hong Kong protests,Glory to Hong Kong,0.26822028387172575
323,Death of Chan Yin-lam,HKmap.live,0.26737144809515573
9,12 June 2019 Hong Kong protest,Civil Human Rights Front,0.26564121585256606
541,List of October 2019 Hong Kong protests,List of September 2019 Hong Kong protests,0.2632272873947244
0,12 June 2019 Hong Kong protest,2019 Hong Kong extradition bill,0.2609677590330193
560,List of September 2019 Hong Kong protests,"One country, two systems",0.25996638990222465
