,Article 1,Article 2,Corr.
106,2019 Hong Kong local elections,Reactions to the 2019–20 Hong Kong protests,0.09819011875743398
681,List of November 2019 Hong Kong protests,Reactions to the 2019–20 Hong Kong protests,0.0981449097624898
64,2019 Hong Kong extradition bill,List of October 2019 Hong Kong protests,0.09795768444730185
423,Demosistō,Hong Kong–Mainland China conflict,0.0972860061485536
86,2019 Hong Kong local elections,Glory to Hong Kong,0.09657126401603142
718,Murder of Poon Hiu-wing,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.09647312362866343
629,List of August 2019 Hong Kong protests,"One country, two systems",0.09640034051218771
486,Government of Hong Kong,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.09586531322777914
127,2019 Prince Edward station attack,Hong Kong,0.09462474405058413
396,Death of Chow Tsz-lok,Hong Kong Way,0.09408319190194755
321,Chinese University of Hong Kong conflict,List of July 2019 Hong Kong protests,0.09291828525429928
475,Government of Hong Kong,List of March–June 2019 Hong Kong protests,0.09291332256654648
316,Chinese University of Hong Kong conflict,Hong Kong,0.09204483510931107
115,2019 Prince Edward station attack,Causes of the 2019–20 Hong Kong protests,0.0913660668017723
612,Lennon Wall (Hong Kong),List of September 2019 Hong Kong protests,0.09012365735172222
240,Art of the 2019–20 Hong Kong protests,Reactions to the 2019–20 Hong Kong protests,0.0896450184165674
331,Chinese University of Hong Kong conflict,Siege of the Hong Kong Polytechnic University,0.0862983545956033
234,Art of the 2019–20 Hong Kong protests,List of October 2019 Hong Kong protests,0.08560798549217147
226,Art of the 2019–20 Hong Kong protests,Hong Kong,0.08511116667006824
164,2019 Yuen Long attack,List of August 2019 Hong Kong protests,0.08376309731738428
18,12 June 2019 Hong Kong protest,Hong Kong Way,0.08335638615421437
187,2019–20 Hong Kong protests,Demosistō,0.0809253335958988
93,2019 Hong Kong local elections,Hong Kong–Mainland China conflict,0.08087301578073343
570,Hong Kong,Hong Kong–Mainland China conflict,0.08084448065430609
535,Hong Kong Human Rights and Democracy Act,List of August 2019 Hong Kong protests,0.08069361307344106
551,Hong Kong Way,Hong Kong,0.08053696001686829
224,Art of the 2019–20 Hong Kong protests,Hong Kong Human Rights and Democracy Act,0.07971113656382442
166,2019 Yuen Long attack,List of July 2019 Hong Kong protests,0.0794627222321457
575,Hong Kong,List of March–June 2019 Hong Kong protests,0.07842721539725911
684,List of November 2019 Hong Kong protests,Tactics and methods surrounding the 2019–20 Hong Kong protests,0.0782309900312289
108,2019 Hong Kong local elections,Storming of the Legislative Council Complex,0.07765597961024494
360,Civil Human Rights Front,Storming of the Legislative Council Complex,0.0775105810805771
702,List of protests in Hong Kong,Storming of the Legislative Council Complex,0.0775105810805771
8,12 June 2019 Hong Kong protest,Chinese University of Hong Kong conflict,0.07733940557983314
465,Government of Hong Kong,HKmap.live,0.07629073357377093
235,Art of the 2019–20 Hong Kong protests,List of protests in Hong Kong,0.07554173331705277
216,Art of the 2019–20 Hong Kong protests,Civil Human Rights Front,0.07554173331705277
420,Demosistō,Hong Kong Human Rights and Democracy Act,0.07510767838960163
308,Chinese University of Hong Kong conflict,Death of Chow Tsz-lok,0.07483505903482246
219,Art of the 2019–20 Hong Kong protests,Demosistō,0.0743698114225915
538,Hong Kong Human Rights and Democracy Act,List of March–June 2019 Hong Kong protests,0.0738709488796744
358,Civil Human Rights Front,Reactions to the 2019–20 Hong Kong protests,0.07354338134145537
700,List of protests in Hong Kong,Reactions to the 2019–20 Hong Kong protests,0.07354338134145537
605,Lennon Wall (Hong Kong),List of August 2019 Hong Kong protests,0.07336968840255866
541,Hong Kong Human Rights and Democracy Act,List of protests in Hong Kong,0.07212821800280698
65,2019 Hong Kong extradition bill,List of protests in Hong Kong,0.07186569641306675
