,Article 1,Article 2,Corr.
431,Demosistō,List_of_protests_in_Hong_Kong,0.48980003482596185
370,Death_of_Chan_Yin-lam,Hong_Kong_Human_Rights_and_Democracy_Act,0.48793196405758893
579,Hong_Kong_Way,List_of_September_2019_Hong_Kong_protests,0.4874210262485776
61,2019_Hong_Kong_extradition_bill,List_of_July_2019_Hong_Kong_protests,0.4868212841441077
296,Causes_of_the_2019–20_Hong_Kong_protests,List_of_protests_in_Hong_Kong,0.48492956702474194
69,2019_Hong_Kong_extradition_bill,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.48392025868038313
384,Death_of_Chan_Yin-lam,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.48381838482293366
630,List_of_August_2019_Hong_Kong_protests,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.4809094405113535
357,Civil_Human_Rights_Front,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.4807375507992477
187,2019–20_Hong_Kong_protests,Demosistō,0.479716217331326
578,Hong_Kong_Way,List_of_protests_in_Hong_Kong,0.4787193771594619
123,2019_Prince_Edward_station_attack,HKmap.live,0.4783356407409038
654,List_of_July_2019_Hong_Kong_protests,List_of_September_2019_Hong_Kong_protests,0.4780307919022388
588,Hong_Kong–Mainland_China_conflict,Lennon_Wall_(Hong_Kong),0.47745870432587584
451,Glory_to_Hong_Kong,List_of_July_2019_Hong_Kong_protests,0.47659340525737126
134,2019_Prince_Edward_station_attack,List_of_November_2019_Hong_Kong_protests,0.4759685643077092
707,List_of_September_2019_Hong_Kong_protests,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.4743579835510906
58,2019_Hong_Kong_extradition_bill,Lennon_Wall_(Hong_Kong),0.47403364409852766
446,Glory_to_Hong_Kong,Hong_Kong_Way,0.4736524465960232
87,2019_Hong_Kong_local_elections,Government_of_Hong_Kong,0.47354277126750866
582,Hong_Kong_Way,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.47338838937595507
70,2019_Hong_Kong_extradition_bill,Reactions_to_the_2019–20_Hong_Kong_protests,0.47257754513188166
111,2019_Prince_Edward_station_attack,2019_Yuen_Long_attack,0.47194448295609953
177,2019_Yuen_Long_attack,Storming_of_the_Legislative_Council_Complex,0.47167217392010896
322,Chinese_University_of_Hong_Kong_conflict,List_of_March–June_2019_Hong_Kong_protests,0.47004618907456175
668,List_of_March–June_2019_Hong_Kong_protests,"One_country,_two_systems",0.4692751288436626
163,2019_Yuen_Long_attack,Lennon_Wall_(Hong_Kong),0.4681515329362908
485,Government_of_Hong_Kong,Storming_of_the_Legislative_Council_Complex,0.46571043177557897
570,Hong_Kong_Way,Hong_Kong–Mainland_China_conflict,0.4597451281742705
